날짜,일일 확진자,백신접종자
2022-05-19,1022,25
2022-05-18,1107,13
2022-05-17,1189,15
2022-05-16,453,0
2022-05-15,1053,13
2022-05-14,1086,49
2022-05-13,1121,36
2022-05-12,1400,19
2022-05-11,1677,16
2022-05-10,1793,22
2022-05-09,701,1
2022-05-08,1596,20
2022-05-07,1357,54
2022-05-06,1127,0
2022-05-05,1507,33
2022-05-04,1880,29
2022-05-03,1764,32
2022-05-02,705,0
2022-05-01,1592,27
2022-04-30,1471,87
2022-04-29,1974,49
2022-04-28,2025,49
2022-04-27,2926,21
2022-04-26,2768,25
2022-04-25,1202,0
2022-04-24,2623,34
2022-04-23,2742,141
2022-04-22,3059,26
2022-04-21,3509,49
2022-04-20,4723,11
2022-04-19,4375,29
2022-04-18,1451,0
2022-04-17,3561,39
2022-04-16,4151,178
2022-04-15,4637,52
2022-04-14,5538,54
2022-04-13,7407,25
2022-04-12,7814,48
2022-04-11,2803,1
2022-04-10,6319,87
2022-04-09,6749,269
2022-04-08,7357,97
2022-04-07,8222,100
2022-04-06,10267,65
2022-04-05,9424,97
2022-04-04,3956,1
2022-04-03,8777,176
2022-04-02,9326,340
2022-04-01,10164,198
2022-03-31,11322,41
2022-03-30,15579,44
2022-03-29,13075,54
2022-03-28,5835,0
2022-03-27,10807,51
2022-03-26,11616,97
2022-03-25,11556,62
2022-03-24,12587,44
2022-03-23,16656,62
2022-03-22,11829,70
2022-03-21,5375,0
2022-03-20,11272,46
2022-03-19,11972,132
2022-03-18,12172,64
2022-03-17,17780,74
2022-03-16,13755,74
2022-03-15,10928,116
2022-03-14,8326,1
2022-03-13,9997,115
2022-03-12,9876,259
2022-03-11,7914,177
2022-03-10,8756,23
2022-03-09,9149,192
2022-03-08,5736,242
2022-03-07,4904,3
2022-03-06,6239,68
2022-03-05,6948,123
2022-03-04,6743,58
2022-03-03,4829,73
2022-03-02,5574,10
2022-03-01,3502,178
2022-02-28,3053,8
2022-02-27,4092,163
2022-02-26,3792,283
2022-02-25,3968,188
2022-02-24,4356,180
2022-02-23,3475,241
2022-02-22,2187,253
2022-02-21,2226,4
2022-02-20,2312,177
2022-02-19,2394,334
2022-02-18,2554,287
2022-02-17,2169,281
2022-02-16,2203,280
2022-02-15,1327,268
2022-02-14,1542,8
2022-02-13,1331,182
2022-02-12,1157,271
2022-02-11,1156,198
2022-02-10,1082,173
2022-02-09,1377,197
2022-02-08,799,257
2022-02-07,885,16
2022-02-06,953,200
2022-02-05,776,420
2022-02-04,628,430
2022-02-03,570,7
2022-02-02,459,2
2022-02-01,410,6
2022-01-31,356,15
2022-01-30,351,225
2022-01-29,310,444
2022-01-28,299,326
2022-01-27,294,272
2022-01-26,247,328
2022-01-25,124,384
2022-01-24,147,19
2022-01-23,110,304
2022-01-22,150,509
2022-01-21,87,330
2022-01-20,176,344
2022-01-19,81,423
2022-01-18,59,526
2022-01-17,42,18
2022-01-16,39,411
2022-01-15,83,707
2022-01-14,71,545
2022-01-13,61,548
2022-01-12,68,664
2022-01-11,11,774
2022-01-10,30,37
2022-01-09,34,487
2022-01-08,53,784
2022-01-07,90,674
2022-01-06,45,727
2022-01-05,68,805
2022-01-04,61,1259
2022-01-03,47,39
2022-01-02,50,112
2022-01-01,104,1583
2021-12-31,74,1720
2021-12-30,80,2026
2021-12-29,101,1625
2021-12-28,65,2512
2021-12-27,63,100
2021-12-26,80,280
2021-12-25,83,2392
2021-12-24,91,2776
2021-12-23,85,3026
2021-12-22,123,2016
2021-12-21,89,3646
2021-12-20,68,113
2021-12-19,92,1648
2021-12-18,127,2868
2021-12-17,128,3001
2021-12-16,149,2958
2021-12-15,105,1583
2021-12-14,86,2302
2021-12-13,76,46
2021-12-12,90,633
2021-12-11,81,1385
2021-12-10,94,1297
2021-12-09,92,1362
2021-12-08,61,1030
2021-12-07,80,1316
2021-12-06,59,28
2021-12-05,82,513
2021-12-04,56,828
2021-12-03,97,668
2021-12-02,49,743
2021-12-01,48,694
2021-11-30,59,914
2021-11-29,33,20
2021-11-28,25,755
2021-11-27,39,1584
2021-11-26,25,1789
2021-11-25,39,1887
2021-11-24,40,924
2021-11-23,20,1603
2021-11-22,26,22
2021-11-21,20,734
2021-11-20,34,1352
2021-11-19,20,1672
2021-11-18,26,1743
2021-11-17,28,1004
2021-11-16,28,1773
2021-11-15,18,50
2021-11-14,27,1467
2021-11-13,23,2571
2021-11-12,26,2611
2021-11-11,34,2996
2021-11-10,31,1506
2021-11-09,17,4239
2021-11-08,25,25
2021-11-07,54,1280
2021-11-06,43,2225
2021-11-05,35,2160
2021-11-04,47,2433
2021-11-03,48,1135
2021-11-02,24,2519
2021-11-01,21,58
2021-10-31,27,953
2021-10-30,46,1678
2021-10-29,35,1730
2021-10-28,54,2635
2021-10-27,29,1086
2021-10-26,32,2540
2021-10-25,42,53
2021-10-24,39,1353
2021-10-23,47,1833
2021-10-22,42,1770
2021-10-21,57,2223
2021-10-20,69,1164
2021-10-19,42,2381
2021-10-18,30,22
2021-10-17,41,2208
2021-10-16,69,3206
2021-10-15,48,1984
2021-10-14,48,1933
2021-10-13,88,4045
2021-10-12,69,3167
2021-10-11,60,237
2021-10-10,75,537
2021-10-09,64,1619
2021-10-08,64,1255
2021-10-07,74,1098
2021-10-06,38,1331
2021-10-05,44,821
2021-10-04,44,81
2021-10-03,44,3582
2021-10-02,60,8586
2021-10-01,39,11242
2021-09-30,61,8092
2021-09-29,84,8522
2021-09-28,59,13029
2021-09-27,63,554
2021-09-26,51,8583
2021-09-25,60,19479
2021-09-24,60,18903
2021-09-23,25,988
2021-09-22,27,143
2021-09-21,27,380
2021-09-20,36,363
2021-09-19,35,10543
2021-09-18,41,20553
2021-09-17,37,14252
2021-09-16,41,11719
2021-09-15,37,17784
2021-09-14,21,22406
2021-09-13,35,364
2021-09-12,45,8608
2021-09-11,30,19826
2021-09-10,32,14352
2021-09-09,33,12772
2021-09-08,39,17797
2021-09-07,36,20763
2021-09-06,24,140
2021-09-05,17,3125
2021-09-04,30,6772
2021-09-03,30,5892
2021-09-02,27,5857
2021-09-01,49,7891
2021-08-31,15,11011
2021-08-30,38,252
2021-08-29,30,7526
2021-08-28,45,17960
2021-08-27,33,20533
2021-08-26,38,12600
2021-08-25,59,13495
2021-08-24,30,11398
2021-08-23,43,1101
2021-08-22,46,10295
2021-08-21,41,21905
2021-08-20,44,17314
2021-08-19,59,16937
2021-08-18,33,21917
2021-08-17,43,19954
2021-08-16,37,490
2021-08-15,44,3472
2021-08-14,45,7175
2021-08-13,52,5168
2021-08-12,75,5553
2021-08-11,56,8087
2021-08-10,47,14412
2021-08-09,38,791
2021-08-08,55,3375
2021-08-07,43,8618
2021-08-06,41,6500
2021-08-05,45,5544
2021-08-04,45,7428
2021-08-03,39,15886
2021-08-02,26,815
2021-08-01,17,6385
2021-07-31,19,15478
2021-07-30,37,11478
2021-07-29,30,14695
2021-07-28,40,10640
2021-07-27,13,18864
2021-07-26,31,2
2021-07-25,41,203
2021-07-24,31,2974
2021-07-23,35,3516
2021-07-22,28,4322
2021-07-21,15,4542
2021-07-20,44,4900
2021-07-19,4,0
2021-07-18,29,465
2021-07-17,11,3832
2021-07-16,14,2543
2021-07-15,12,2849
2021-07-14,10,2723
2021-07-13,8,1206
2021-07-12,14,1
2021-07-11,8,191
2021-07-10,19,985
2021-07-09,14,754
2021-07-08,8,1267
2021-07-07,5,1001
2021-07-06,2,1301
2021-07-05,3,0
2021-07-04,2,23
2021-07-03,6,48
2021-07-02,7,51
2021-07-01,4,430
2021-06-30,5,441
2021-06-29,10,273
2021-06-28,5,0
2021-06-27,4,158
2021-06-26,5,1405
2021-06-25,10,1352
2021-06-24,6,967
2021-06-23,10,937
2021-06-22,16,741
2021-06-21,3,0
2021-06-20,6,7270
2021-06-19,10,16241
2021-06-18,19,12503
2021-06-17,18,15673
2021-06-16,17,18885
2021-06-15,14,22038
2021-06-14,23,631
2021-06-13,6,10918
2021-06-12,12,22939
2021-06-11,16,21981
2021-06-10,24,19479
2021-06-09,23,25700
2021-06-08,6,29982
2021-06-07,11,49
2021-06-06,17,4596
2021-06-05,24,10003
2021-06-04,22,10992
2021-06-03,5,13941
2021-06-02,5,22031
2021-06-01,11,14424
2021-05-31,7,143
2021-05-30,6,5392
2021-05-29,22,18024
2021-05-28,14,22787
2021-05-27,9,3731
2021-05-26,13,4302
2021-05-25,9,3813
2021-05-24,7,0
2021-05-23,9,8
2021-05-22,6,1177
2021-05-21,12,632
2021-05-20,13,32
2021-05-19,21,304
2021-05-18,13,248
2021-05-17,23,0
2021-05-16,20,3
2021-05-15,5,249
2021-05-14,4,407
2021-05-13,10,374
2021-05-12,12,164
2021-05-11,4,260
2021-05-10,4,0
2021-05-09,9,184
2021-05-08,9,931
2021-05-07,5,1306
2021-05-06,6,9
2021-05-05,11,1253
2021-05-04,7,1248
2021-05-03,9,2
2021-05-02,11,1320
2021-05-01,5,9109
2021-04-30,12,9676
2021-04-29,10,9329
2021-04-28,22,6687
2021-04-27,10,5282
2021-04-26,16,51
2021-04-25,15,2103
2021-04-24,15,5271
2021-04-23,30,4114
2021-04-22,19,5103
2021-04-21,20,5009
2021-04-20,14,4038
2021-04-19,10,0
2021-04-18,10,592
2021-04-17,12,4222
2021-04-16,9,4452
2021-04-15,20,2769
2021-04-14,29,2582
2021-04-13,8,2168
2021-04-12,20,0
2021-04-11,10,464
2021-04-10,12,2012
2021-04-09,7,1911
2021-04-08,8,1417
2021-04-07,17,1912
2021-04-06,12,1847
2021-04-05,7,63
2021-04-04,14,413
2021-04-03,11,1958
2021-04-02,19,2342
2021-04-01,20,1318
